[20200812-035018] -- INFO: Searching threads...
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/23902596.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25334535.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24733064.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25264268.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24749969.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24897298.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24727315.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25256724.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25353749.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25289853.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25244821.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25364895.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25228323.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24912046.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24741044.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25296442.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24942657.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24903621.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25280713.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25363786.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25309515.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24612557.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24960078.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25358048.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25260391.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25111152.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25175285.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25348604.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/24521981.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25108478.json: Starting download.
[20200812-035020] -- INFO: http://a.4cdn.org/jp/thread/25365119.json: Starting download.
[20200812-035020] -- INFO: 31 threads currently downloading.
[20200812-035020] -- INFO: I think we should be done.
