[20201227-044409] -- INFO: Searching threads...
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213522944.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213512196.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213513222.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213526794.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213480080.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213531282.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213510678.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213500823.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213527324.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213489823.json: Starting download.
[20201227-044410] -- INFO: http://a.4cdn.org/a/thread/213491234.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213524516.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213525158.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213515700.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213528373.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213529654.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213523256.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213531578.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213524292.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213531589.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213528518.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213528391.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213523656.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213479623.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213532106.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213523802.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213526362.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213530986.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213489004.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213468915.json: Starting download.
[20201227-044411] -- INFO: http://a.4cdn.org/a/thread/213520123.json: Starting download.
[20201227-044411] -- INFO: 31 threads currently downloading.
[20201227-044411] -- INFO: Searching again in 5 minutes!
