[20210715-154502] -- INFO: Searching threads...
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35682432.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35639305.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35692691.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35679765.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35677591.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35665817.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35548444.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35565731.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35466278.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35338408.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35662379.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35647536.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35695409.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35679285.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35666502.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35696838.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35654856.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35380431.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35540177.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35599569.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35186261.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35666646.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35475675.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35689947.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35687784.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35668595.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35622647.json: Starting download.
[20210715-154503] -- INFO: http://a.4cdn.org/jp/thread/35699837.json: Starting download.
[20210715-154503] -- INFO: 28 threads currently downloading.
